brand,model,announced,display_resolution,OS,internal_memory,RAM,battery,approx_price_EUR
Nokia,Lumia 638,2014  December,4.5 inches (~64.6% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1830 mAh battery (BL-5H),100.0
Pantech,Flex  P8010,2012  September,4.3 inches (~58.5% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1830 mAh battery,230.0
XOLO,LT900,2013  October,4.3 inches (~60.0% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1810 mAh battery,190.0
Nokia,Lumia 810,2012  October,4.3 inches (~60.2% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1800 mAh battery (BP-4W),250.0
Gionee,P5 Mini,2016  March,4.5 inches (~64.1% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,90.0
XOLO,Prime,2015  May,4.5 inches (~60.8% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,80.0
Allview,Viper i V1,2014  May,4.7 inches (~65.8% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,200.0
Allview,C6 Quad 4G,2014  December,4.5 inches (~61.7% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,140.0
Samsung,Galaxy Light,2013  October,4.0 inches (~59.1% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,180.0
Samsung,Galaxy Core I8260,2013  May,4.3 inches (~60.2% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,160.0
Samsung,Galaxy S Relay 4G T699,2012  September,4.0 inches (~54.8% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,150.0
HTC,One SV CDMA,2012  November,4.3 inches (~61.5% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,180.0
Samsung,Galaxy Stratosphere II I415,2012  November,4.0 inches (~55.1% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,170.0
HTC,One SV,2012  November,4.3 inches (~61.5% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,200.0
alcatel,OT-986,2012  May,4.5 inches (~61.3% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,250.0
Huawei,Ascend D quad,2012  February,4.5 inches (~66.7% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,290.0
Huawei,Ascend D1,2012  February,4.5 inches (~67.6% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1800 mAh battery,210.0
Motorola,ATRIX 2 MB865,2011  October,4.3 inches (~61.3% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1785 mAh battery,230.0
ZTE,Flash,2012  November,4.5 inches (~63.5% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1780 mAh battery,360.0
Sony,Xperia L,2013  March,4.3 inches (~60.9% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1750 mAh battery,130.0
Sony,Xperia V,2012  August,4.3 inches (~60.8% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1750 mAh battery,230.0
Huawei,Honor Bee,2015  May,4.5 inches (~62.3% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1730 mAh battery,70.0
Allview,P5 Pro,2016  January,4.5 inches (~60.7% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1700 mAh battery,130.0
Micromax,Canvas A1 AQ4502,2015  June,4.5 inches (~27.9% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1700 mAh battery,90.0
Micromax,Canvas Pep Q371,2015  February,4.5 inches,Android,8.0,1.0,Removable Li-Ion 1700 mAh battery,90.0
XOLO,One,2014  October,4.5 inches (~67.8% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1700 mAh battery,80.0
LG,Mach LS860,2012  October,4.0 inches (~59.4% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1700 mAh battery,150.0
LG,Lucid 4G VS840,2012  March,4.0 inches (~61.5% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1700 mAh battery,200.0
LG,Motion 4G MS770,2012  August,3.5 inches (~53.9% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1700 mAh battery,110.0
Nokia,Lumia 820,2012  September,4.3 inches (~62.1% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1650 mAh battery (BP-5T),170.0
Samsung,I9105 Galaxy S II Plus,2013  January,4.3 inches (~63.5% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1650 mAh battery,210.0
Samsung,i927 Captivate Glide,2011  October,4.0 inches (~57.4% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1650 mAh battery,110.0
Samsung,I9103 Galaxy R,2011  June,4.2 inches (~60.9% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1650 mAh battery,200.0
Asus,Zenfone Go ZC451TG,2015  December,4.5 inches (~61.7% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1600 mAh battery,70.0
Microsoft,Lumia 532 Dual SIM,2015  January,4.0 inches (~58.5% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1560 mAh battery,90.0
Microsoft,Lumia 532,2015  January,4.0 inches (~58.5% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1560 mAh battery,90.0
Microsoft,Lumia 435 Dual SIM,2015  January,4.0 inches (~59.6% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1560 mAh battery,70.0
Microsoft,Lumia 435,2015  January,4.0 inches (~59.6% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1560 mAh battery,70.0
LG,Prada 3.0,2011  December,4.3 inches (~59.8% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1540 mAh battery,210.0
LG,Optimus 3D Max P720,2012  February,4.3 inches (~61.6% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1520 mAh battery,230.0
Samsung,Galaxy J1 Nxt,2016  February,4.0 inches (~57.0% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1500 mAh battery,90.0
Samsung,Galaxy J1 mini prime,2016  December,4.0 inches (~59.4% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1500 mAh battery,110.0
Samsung,Z2,2016  August,4.0 inches (~59.5% screen-to-body ratio),Tizen,8.0,1.0,Removable Li-Ion 1500 mAh battery,80.0
Microsoft,Lumia 430 Dual SIM,2015  March,4.0 inches (~58.8% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1500 mAh battery,70.0
Micromax,A092 Unite,2014  Q3,4.0 inches (~22.8% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1500 mAh battery,70.0
Panasonic,T40,2014  October,4.0 inches (~57.8% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1500 mAh battery,90.0
Micromax,Canvas Win W092,2014  June,4.0 inches (~52.7% screen-to-body ratio),Windows Phone,8.0,1.0,Removable Li-Ion 1500 mAh battery,80.0
LG,Optimus EX SU880,2011  September,4.0 inches (~60.9% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1500 mAh battery,110.0
LG,Optimus Q2 LU6500,2011  September,4.0 inches (~57.0% screen-to-body ratio),Android,8.0,1.0,Removable Li-Ion 1500 mAh battery,120.0
