brand,model,announced,display_resolution,OS,internal_memory,RAM,battery,approx_price_EUR
BQ,Aquaris X5,2015,5.0 inches (~67.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2900 mAh battery,230
HTC,One M9 Prime Camera,2016  May,5.0 inches (~68.4% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2840 mAh battery,390
HTC,One M9s,2015  November,5.0 inches (~68.4% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2840 mAh battery,270
HTC,Desire 728 dual sim,2015  September,5.5 inches (~67.9% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2800 mAh battery,240
HTC,One E9,2015  May,5.5 inches (~69.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2800 mAh battery,320
vivo,V1 Max,2015  August,5.5 inches (~70.3% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2720 mAh battery,
vivo,Y37,2015  August,5.5 inches (~70.3% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2720 mAh battery,
Lenovo,Vibe S1 Lite,2016  January,5.0 inches (~66.9% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2700 mAh battery,210
LG,Nexus 5X,2015  September,5.2 inches (~70.2% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2700 mAh battery,270
Allview,X2 Soul Pro,2015  March,5.2 inches (~69.2% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2700 mAh battery,
Archos,50 Diamond,2014  October,5.0 inches (~67.4% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2700 mAh battery,200
HTC,Desire 820s dual sim,2015  March,5.5 inches (~67.2% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2600 mAh battery,370
HTC,Desire 826 dual sim,2015  January,5.5 inches (~68.1% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2600 mAh battery,200
HTC,Desire 820 dual sim,2014  September,5.5 inches (~67.2% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2600 mAh battery,320
HTC,Desire 820,2014  September,5.5 inches (~67.2% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2600 mAh battery,340
HTC,One (M8 Eye),2014  October,5.0 inches (~66.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2600 mAh battery,260
HTC,One (M8) dual sim,2014  June,5.0 inches (~66.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2600 mAh battery,300
HTC,One (E8),2014  June,5.0 inches (~66.6% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2600 mAh battery,420
vivo,Xshot,2014,5.2 inches (~69.4% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2600 mAh battery,
Asus,Zenfone 2 ZE500CL,2015  March,5.0 inches (~65.1% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2500 mAh battery,180
Lava,Icon,2015  April,5.0 inches (~68.1% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2500 mAh battery,
Huawei,Ascend P7,2014  May,5.0 inches (~71.7% screen-to-body ratio),Android,16,2,Non-removable Li-Po 2500 mAh battery,250
